mmsi,imo,name,flag,sanctioned,false_flag,date_added,fleet
314937000,9413547,,,False,False,,Rosja
626282000,9304825,,,False,False,,Rosja
621819092,9299733,,,False,False,,Rosja
314889000,9339325,,,False,False,,Rosja
352001616,9296822,,,False,False,,Rosja
352003366,9354301,,,False,False,,Rosja
314920000,9306794,,,False,False,,Rosja
352003221,9224441,,,False,False,,Rosja
636022303,9242223,,,False,False,,Rosja
314913000,9288899,,,False,False,,Rosja
626292000,9290335,,,False,False,,Rosja
352002003,9290309,,,False,False,,Rosja
630001163,9319882,,,False,False,,Rosja
273254130,9256078,,,False,False,,Rosja
461000286,9310525,QENDIL,,False,False,,Rosja
352002588,9544281,,,False,False,,Rosja
352004960,9345623,,,False,False,,Rosja
273259630,9249128,,,False,False,,Rosja
314921000,9292204,,,False,False,,Rosja
352001732,9314088,,,False,False,,Rosja
352001510,9321976,,,False,False,,Rosja
314895000,9413573,,,False,False,,Rosja
626390000,9312896,,,False,False,,Rosja
�314914000,9331153,,,False,False,,Rosja
334916000,9288693,,,False,False,,Rosja
314996000,9247883,,,False,False,,Rosja
667002317,9233741,,,False,False,,Rosja
352004666,9296406,,,False,False,,Rosja
518998876,9318539,SWIFTSEA RIDER,,False,False,,Rosja
273259430,9339313,,,False,False,,Rosja
511100566,9194995,,,False,False,,Rosja
574005280,9258868,,,False,False,,Rosja
632001087,9322839,,,False,False,,Rosja
351588000,9283289,,,False,False,,Rosja
621819096,9317949,,,False,False,,Rosja
626312000,9332834,,,False,False,,Rosja
352003056,9388780,,,False,False,,Rosja
314916000,9331141,,,False,False,,Rosja
626289000,9337901,,,False,False,,Rosja
352003147,9332781,,,False,False,,Rosja
314839000,9387255,,,False,False,,Rosja
352002137,9259197,,,False,False,,Rosja
613833000,9168946,,,False,False,,Rosja
352002495,9281891,,,False,False,,Rosja
352003222,9224465,,,False,False,,Rosja
352003620,9416422,,,False,False,,Rosja
613003808,9185528,,,False,False,,Rosja
273258910,9299719,,,False,False,,Rosja
314942000,9299692,,,False,False,,Rosja
626281000,9311531,,,False,False,,Rosja
312242000,9233349,,,False,False,,Rosja
621819005,9436941,,,False,False,,Rosja
574005330,9326720,,,False,False,,Rosja
352003364,9354313,,,False,False,,Rosja
334913000,9408205,,,False,False,,Rosja
334902000,9285835,,,False,False,,Rosja
334029000,9288722,,,False,False,,Rosja
667002369,9301524,,,False,False,,Rosja
667002333,9187227,,,False,False,,Rosja
314001002,9314105,,,False,False,,Rosja
518998787,9224283,,,False,False,,Rosja
314909000,9296391,,,False,False,,Rosja
636022764,9408695,,,False,False,,Rosja
352003068,9315654,,,False,False,,Rosja
667002321,9260823,,,False,False,,Rosja
352002861,9589750,,,False,False,,Rosja
314965000,9412347,,,False,False,,Rosja
352002168,9524463,,,False,False,,Rosja
352001925,9513139,,,False,False,,Rosja
314989000,9421972,,,False,False,,Rosja
621819020,9299666,,,False,False,,Rosja
�626475000,9418482,,,False,False,,Rosja
�352001958,9282493,,,False,False,,Rosja
518998625,9288710,,,False,False,,Rosja
352002809,9346720,KIRA K,,False,False,,Rosja
352001387,9235713,,,False,False,,Rosja
352002801,9297357,,,False,False,,Rosja
314962000,9305568,,,False,False,,Rosja
352001452,9321847,,,False,False,,Rosja
442303030,9388792,,,False,False,,Rosja
636022403,9410870,,,False,False,,Rosja
621819067,9281011,,,False,False,,Rosja
314975000,9288851,,,False,False,,Rosja
352002926,9388766,,,False,False,,Rosja
621819008,9402471,,,False,False,,Rosja
�677064000,9826902,,,False,False,,Rosja
314001030,9434890,,,False,False,,Rosja
621819095,9378620,,,False,False,,Rosja
352003443,9293155,,,False,False,,Rosja
273257910,9306782,,,False,False,,Rosja
352002674,9336426,,,False,False,,Rosja
352002845,9247792,,,False,False,,Rosja
518999148,9183295,,,False,False,,Rosja
352003102,9404948,,,False,False,,Rosja
626313000,9293002,JAGUAR,,False,False,,Rosja
268242902,9237412,,,False,False,,Rosja
352002486,9436006,,,False,False,,Rosja
334099000,9299898,,,False,False,,Rosja
334920000,9285859,,,False,False,,Rosja
632001101,9274616,,,False,False,,Rosja
352003251,9832547,,,False,False,,Rosja
352003207,9832559,,,False,False,,Rosja
273259910,9258002,,,False,False,,Rosja
314911000,9394935,,,False,False,,Rosja
314679000,9422988,,,False,False,,Rosja
334919000,9321689,,,False,False,,Rosja
667002362,9207027,,,False,False,,Rosja
636024230,9234642,,,False,False,,Rosja
636018885,9274446,,,False,False,,Rosja
273255610,9421960,,,False,False,,Rosja
312325000,9231509,,,False,False,,Rosja
273250630,9411020,,,False,False,,Rosja
352001823,9308077,,,False,False,,Rosja
314001001,9249312,,,False,False,,Rosja
477113600,9194983,,,False,False,,Rosja
304736000,9293117,,,False,False,,Rosja
273259230,9270529,,,False,False,,Rosja
352002661,9232931,,,False,False,,Rosja
273251810,9256066,,,False,False,,Rosja
334917000,9288708,,,False,False,,Rosja
574005510,9374868,,,False,False,,Rosja
352002872,9392822,,,False,False,,Rosja
518999319,9270517,,,False,False,,Rosja
626226000,9319703,,,False,False,,Rosja
632001084,9381732,,,False,False,,Rosja
314994000,9389679,,,False,False,,Rosja
352003485,9402469,,,False,False,,Rosja
352002820,9388754,,,False,False,,Rosja
613670000,9206671,,,False,False,,Rosja
518999121,9288734,,,False,False,,Rosja
632001090,9412995,,,False,False,,Rosja
353744000,9264570,,,False,False,,Rosja
620999422,9337389,,,False,False,,Rosja
�620999375,9237228,,,False,False,,Rosja
613003807,9131357,,,False,False,,Rosja
352002243,9417464,,,False,False,,Rosja
314992000,9304356,,,False,False,,Rosja
352002205,9301392,,,False,False,,Rosja
667002327,9326718,,,False,False,,Rosja
352002772,9255660,,,False,False,,Rosja
305014000,9292503,,,False,False,,Rosja
352002791,9383950,,,False,False,,Rosja
352004367,9299769,,,False,False,,Rosja
352002179,9524451,,,False,False,,Rosja
632001107,9322827,,,False,False,,Rosja
352002280,9530917,,,False,False,,Rosja
518998343,9263643,,,False,False,,Rosja
352002195,9301380,,,False,False,,Rosja
352002204,9301407,,,False,False,,Rosja
352002198,9301419,,,False,False,,Rosja
352002197,9301421,,,False,False,,Rosja
314964000,9341081,,,False,False,,Rosja
352002194,9360128,,,False,False,,Rosja
352002196,9360130,,,False,False,,Rosja
273259530,9412359,,,False,False,,Rosja
314938000,9413561,,,False,False,,Rosja
352002209,9418494,,,False,False,,Rosja
314985000,9422457,,,False,False,,Rosja
314950000,9610781,,,False,False,,Rosja
352002203,9901025,,,False,False,,Rosja
352002208,9901037,,,False,False,,Rosja
352002122,9346732,,,False,False,,Rosja
423205100,9284116,,,False,False,,Rosja
423046100,9397676,,,False,False,,Rosja
423242100,9347231,KOROGLU,,False,False,,Rosja
632001089,9410894,,,False,False,,Rosja
352002942,9247780,,,False,False,,Rosja
273253500,9283241,,,False,False,,Rosja
352003752,9233765,,,False,False,,Rosja
304743000,9232929,,,False,False,,Rosja
636016693,9259599,,,False,False,,Rosja
632001100,9322267,,,False,False,,Rosja
632001112,9381744,,,False,False,,Rosja
314915000,9286657,,,False,False,,Rosja
620999378,9259185,,,False,False,,Rosja
626287000,9353096,,,False,False,,Rosja
352002666,9248801,,,False,False,,Rosja
273259970,9655470,,,False,False,,Rosja
