mmsi,imo,name,destination,fleet_source
669529000,9323338,,,GUR_Russia
211146780,9308065,EVENTIN,UST LUGA,GUR_Russia
273211040,9842176,VLADIMIR MONOMAKH,RU PRI > EG SCN,GUR_Russia
372839000,9208069,STELLAR BEVERLY     ,PRIMORSK            ,GUR_Russia
621819084,9288746,UDAYA               ,TALLIN              ,GUR_Russia
626294000,9274800,YANGTZE             ,SUEZ                ,GUR_Russia
352003394,9346744,MA JIN              ,BALTIC FOR ORDERS   ,GUR_Russia
314843000,9265756,LIFE                ,OPL FR ORDERS       ,GUR_Russia
352002679,9368223,ACHILLES            ,YANBU KSA FOR ORDER ,GUR_Russia
630001100,9291250,LINE                ,ESTTA               ,GUR_Russia
626285000,9257022,LACONIA,FOR ORDER,GUR_Russia
314993000,9250531,PYTHON,UST-LUGA,GUR_Russia
352002677,9297371,SULEYMAN I,RU_ULU,GUR_Russia
273250830,9312884,KEMEROVO,FOR ORDER,GUR_Russia
273258030,9256054,NEVSKIY PROSPECT,FOR ORDER,GUR_Russia
352002488,9419137,SIKAR,MTMLA>RUULU,GUR_Russia
314988000,9422445,SIRIUS, DZ AZW > RU MMK,GUR_Russia
667002338,9248849,SILVERA             ,FINLAND GULF FOR ORD,GUR_Russia
626357000,9338905,SHAANXI             ,SUEZ                ,GUR_Russia
352003390,9328132,SINO PROSPERITY,VYSOTSK,GUR_Russia
667002335,9253076,REUS,GULF OF FINLAND,GUR_Russia
352978218,9235725,FUGA BLUEMARINE     ,FOR ORDER           ,GUR_Russia
621819066,9388742,SURYA,PRIMORSK,GUR_Russia
273258810,9610810,VIKTOR BAKAEV,RUULU,GUR_Russia
352002898,9378632,PING AN             ,BALTICSEA           ,GUR_Russia
621819007,9274434,SINDHU,PRIMORSK RUU,GUR_Russia
626296000,9319674,EASTERN GLORY,UST LUGA,GUR_Russia
630001161,9323986,GARASAN,USTLUGA,GUR_Russia
352003751,9337327,JAZZ,RU VYS,GUR_Russia
518998167,9329760,EAGLE S,"PORT,SAID>>>>>>",GUR_Russia
304797000,9253894,DESTAMAR,PORT SAID,GUR_Russia
636022168,9332810,KIWALA,RUULU,GUR_Russia
273618730,9866380,OKEANSKY PROSPECT,RUULU 11A >RUULU 10A,GUR_Russia
273616040,9842190,AKADEMIK GUBKIN,RU ULU,GUR_Russia
273295230,9842188,VLADIMIR VINOGRADOV,RU ULU,GUR_Russia
314001021,9283291,TIBURON,RUPRI,GUR_Russia
667002337,9229374,ODUNE,PRIMORSK,GUR_Russia
667002314,9227443,ARLAN               ,BALTIC FOR ORDER    ,GUR_Russia
314001003,9205067,RAVEN               ,GULF OF FINLAND     ,GUR_Russia
352003031,9319686,HU PO               ,BALTIC FOR ORDER    ,GUR_Russia
314981000,9257814,TOREX               ,PORT SAID           ,GUR_Russia
372669000,9236004,KATIUSKA            ,FOR ORDER           ,GUR_Russia
667002308,9250892,MIKATI              ,RU MMK>EG PSD       ,GUR_Russia
273259730,9610793,GEORGY MASLOV       ,FOR ORDER           ,GUR_Russia
375068000,9250397,FITBURG,,GUR_Russia
632001135,9143611,CAFFA,,GUR_Russia
352003677,9321172,SEA OWL I,,GUR_Russia
229659000,9937270,VEZHEN,,GUR_Russia
273414440,9179854,ADLER,,GUR_Russia
273457410,8227238,AKADEMIK ALEKSANDR KARPINSKIY,,GUR_Russia
273399760,8770261,AKADEMIK CHERSKIY,,GUR_Russia
273614220,9741724,ALARA,,GUR_Russia
273216620,9889198,ALEKSANDR SOKOLOV,,GUR_Russia
273615820,9940186,ALEXANDR DEEV,,GUR_Russia
273296030,9924340,ALPHA HELIOS,,GUR_Russia
273294550,9924352,ALPHA HERMES,,GUR_Russia
273444390,9300348,SANAR-10,,GUR_Russia
273433680,9300350,SANAR-9,,GUR_Russia
273445480,9313589,SANAR-14,,GUR_Russia
273317640,8318130,BALTIYSK,,GUR_Russia
273615800,9945124,GENNADY EGOROV,,GUR_Russia
273297510,9922122,LEONID PESTRIKOV,,GUR_Russia
273451690,9868807,NAVIS-6,,GUR_Russia
273298020,9922134,NIKOLAI LEONOV,,GUR_Russia
273614750,9942392,NIKOLAY ANISHCHENKOV,,GUR_Russia
273218340,9900514,PETROTRANS-5902,,GUR_Russia
273298410,9922110,VICTOR ANDRYUKHIN,,GUR_Russia
273213790,9921996,VLADIMIR LATYSHEV,,GUR_Russia
273613800,9945136,VYACHESLAV ARSHINOV,,GUR_Russia
273298160,9349291,ANASTASIIA,,GUR_Russia
319025900,1011159,ANATTA,,GUR_Russia
273379890,8711306,ANDREY OSIPOV,,GUR_Russia
273370990,9243801,ARCTICA-2,,GUR_Russia
273385970,9278600,BARENTS,,GUR_Russia
273437510,9267297,BERING,,GUR_Russia
273295260,9433286,MYS FLORA,,GUR_Russia
273218890,9368340,MYS DEZHNEVA,,GUR_Russia
273299250,9081370,MIKHAIL BRITNEV,,GUR_Russia
273256600,9243825,MYS SHMIDTA,,GUR_Russia
273434010,7741108,MANGAZEYA,,GUR_Russia
273210440,9179842,ANGARA,,GUR_Russia
273386130,9228980,ARCTICA 1,,GUR_Russia
273216130,9366110,MYS ZHELANIYA,,GUR_Russia
273359930,8714695,ARKADIY CHERNYSHEV,,GUR_Russia
273348130,8318740,CAPTAIN YAKUBOVICH,,GUR_Russia
273359830,8517839,MARIA,,GUR_Russia
273451870,9747194,ARTEMIS OFFSHORE,,GUR_Russia
273219650,9198226,ASCALON,,GUR_Russia
273155400,9082142,ASKAR-SARYDZHA,,GUR_Russia
273355400,8700010,SAPFIR,,GUR_Russia
273150400,9083330,GASRET ALIEV,,GUR_Russia
273151300,9083196,GENRIKH GASANOV,,GUR_Russia
273428520,8606628,KOMPOZITOR ELZA IBRAGIMOVA,,GUR_Russia
273293160,9349289,LADY D,,GUR_Russia
273292160,9220641,LADY MARIIA,,GUR_Russia
273212120,9161003,LADY R,,GUR_Russia
273291160,9358010,MAIA-1,,GUR_Russia
273356400,8700046,OLGA,,GUR_Russia
273343190,9481922,PORT OLYA-1,,GUR_Russia
273379120,9481881,PORT OLYA-2,,GUR_Russia
273157300,8861058,RASUL GAMZATOV,,GUR_Russia
273357400,8700060,SONA,,GUR_Russia
273159700,8866591,VALENTIN EMIROV,,GUR_Russia
273615220,9759666,IPSALA,,GUR_Russia
273613220,9780940,ULA,,GUR_Russia
273217380,9906544,ASTROL-1,,GUR_Russia
273292470,9190107,MYS MANORSKIY,,GUR_Russia
273395260,9691785,POLA SEVASTIANA,,GUR_Russia
273416760,9849423,POLA MAKARIA,,GUR_Russia
273414870,9849435,POLA FILOFEIA,,GUR_Russia
273416980,9849459,POLA SOFIA,,GUR_Russia
273422380,9849461,POLA FEODOSIA,,GUR_Russia
273423690,9849473,POLA FIVA,,GUR_Russia
273435200,9851103,POLA ANATOLIA,,GUR_Russia
273448220,9851115,POLA ANFISA,,GUR_Russia
273217290,9851127,POLA GALI,,GUR_Russia
273215210,9888792,POLA HARITA,,GUR_Russia
273217810,9888807,POLA PELAGIA,,GUR_Russia
273215830,9897705,POLA MARIA,,GUR_Russia
